Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
sp|Q9UJC5|SH3L2_HUMAN	Q9UJC5	SH3L2_HUMAN	SH3BGRL2	107	false	false	Homo sapiens	SH3 domain-binding glutamic acid-rich-like protein 2	1:Experimental evidence at protein level	18.69	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2674860	2674860	2674860	12K(304.2072), 1K(304.2072), 2C(57.0215), 2K(304.2072), N-term(304.2072)			125285.8555	83179.1953	173204.5781	110474.4023	130105.9727	124336.6641	124480.9375	122711.4141	143529.4375	132040.6641	116332.3008	115827.5781	1444.6948	1818.7136	0.0000	0.0000
sp|Q9UJF2|NGAP_HUMAN	Q9UJF2	NGAP_HUMAN	RASAL2	1139	false	false	Homo sapiens	Ras GTPase-activating protein nGAP	1:Experimental evidence at protein level	2.55	1.0000	0.9990	0.00000000000000	3	2	2	3	2	2	1010917	477753	1010917	12K(304.2072), 1C(57.0215), 4C(57.0215), N-term(304.2072)			30271.7793	23349.1465	36085.8047	33164.5908	33835.8008	38139.6846	31093.8115	34110.0840	38888.4717	39399.3193	36966.6748	46313.2676	0.0000	0.0000	0.0000	0.0000
sp|Q9UJS0|S2513_HUMAN	Q9UJS0	S2513_HUMAN	SLC25A13	675	false	false	Homo sapiens	Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial	1:Experimental evidence at protein level	33.48	1.0000	0.9990	0.00000000000000	22	14	14	25	15	15	15346165	9271144	15346165	10M(15.9949), 12K(304.2072), 13K(304.2072), 15K(304.2072), 6M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			147416.1426	118389.4283	187793.7871	142769.3009	155392.3376	145831.8372	867076.8164	1011040.0469	1234018.6465	786877.9531	750765.0039	758559.1172	16192.1335	9228.5670	0.0000	0.0000
sp|Q9UJU6|DBNL_HUMAN	Q9UJU6	DBNL_HUMAN	DBNL	430	false	false	Homo sapiens	Drebrin-like protein	1:Experimental evidence at protein level	38.14	1.0000	0.9990	0.00000000000000	18	18	18	30	30	30	34825945	34825945	34825945	10K(304.2072), 11M(15.9949), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16K(304.2072), 20K(304.2072), 2K(304.2072), 2M(15.9949), 3K(304.2072), 6C(57.0215), 8K(304.2072), 9C(57.0215), N-term(304.2072)			1442712.0293	1229878.4121	1968389.2227	1804785.7480	2003265.9297	1826745.4941	1023720.6641	1133586.5840	1211697.8730	1126816.2197	939433.3516	1027081.5947	20511.4685	11996.2542	0.0000	0.0000
sp|Q9UJV8|PURG_HUMAN	Q9UJV8	PURG_HUMAN	PURG	347	false	false	Homo sapiens	Purine-rich element-binding protein gamma	2:Experimental evidence at transcript level	8.93	1.0000	0.9990	0.00000000000000	3	2	2	3	2	2	2777296	885314	2777296	7K(304.2072), N-term(304.2072)			57097.4824	42271.5850	73122.0371	53058.8867	67029.0781	58702.6914	45062.6123	49677.0703	62605.6182	87987.3516	80162.2520	76465.3457	0.0000	0.0000	0.0000	0.0000
sp|Q9UJV9|DDX41_HUMAN	Q9UJV9	DDX41_HUMAN	DDX41	622	false	false	Homo sapiens	Probable ATP-dependent RNA helicase DDX41	1:Experimental evidence at protein level	16.56	1.0000	0.9990	0.00000000000000	11	11	11	13	13	13	3636449	3636449	3636449	11K(304.2072), 2C(57.0215), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			393026.4111	314972.6035	543408.8613	608045.8828	618108.2441	615633.5625	376046.0879	407921.4678	469063.8887	652054.8340	588462.8359	630622.1465	17828.7667	4905.7312	0.0000	0.0000
sp|Q9UJW0|DCTN4_HUMAN	Q9UJW0	DCTN4_HUMAN	DCTN4	460	false	false	Homo sapiens	Dynactin subunit 4	1:Experimental evidence at protein level	43.70	1.0000	0.9990	0.00000000000000	17	17	17	23	23	23	14379093	14379093	14379093	10C(57.0215), 10K(304.2072), 11K(304.2072), 11M(15.9949), 13C(57.0215), 14C(57.0215), 14K(304.2072), 15K(304.2072), 17C(57.0215), 1C(57.0215), 21M(15.9949), 27K(304.2072), 2K(304.2072), 2M(15.9949), 3M(15.9949), 4C(57.0215), 4M(15.9949), 6C(57.0215), 6K(304.2072), 7C(57.0215), 7K(304.2072), 8C(57.0215), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1162526.7627	929553.7373	1513594.8418	1196817.6992	1282834.6211	1275161.7295	809845.2471	915013.4443	923871.0361	1001399.0527	892373.7490	987717.6094	32203.2319	15762.3463	0.0000	0.0000
sp|Q9UJX2|CDC23_HUMAN	Q9UJX2	CDC23_HUMAN	CDC23	597	false	false	Homo sapiens	Cell division cycle protein 23 homolog	1:Experimental evidence at protein level	10.05	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	3360069	3360069	3360069	15K(304.2072), 1K(304.2072), 2K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			252037.1289	205219.8477	317003.1875	279543.3203	292573.0605	289796.5332	288376.0137	332844.0371	356366.0352	372732.3457	353373.9336	391228.7910	9707.9031	2362.9313	0.0000	0.0000
sp|Q9UJY5|GGA1_HUMAN	Q9UJY5	GGA1_HUMAN	GGA1	639	false	false	Homo sapiens	ADP-ribosylation factor-binding protein GGA1	1:Experimental evidence at protein level	9.39	1.0000	0.9990	0.00000000000000	7	6	7	7	6	7	6189807	6189807	6189807	10K(304.2072), 12K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			265055.8594	254837.1445	428929.1328	327579.6719	366071.6895	341221.6035	182960.3340	237590.3145	222435.8691	239123.2344	201404.6152	197393.2998	5927.2872	0.0000	0.0000	0.0000
sp|Q9UJZ1|STML2_HUMAN	Q9UJZ1	STML2_HUMAN	STOML2	356	false	false	Homo sapiens	Stomatin-like protein 2, mitochondrial	1:Experimental evidence at protein level	28.37	1.0000	0.9990	0.00000000000000	9	9	9	14	14	14	20536401	20536401	20536401	10K(304.2072), 11K(304.2072), 17K(304.2072), 2K(304.2072), 5M(15.9949), 7M(15.9949), N-term(304.2072)			121182.4924	95624.4248	157530.8765	114519.1248	131470.3579	130779.3745	727751.3828	925461.0723	1062886.7246	947076.7383	931996.8262	835207.4570	24058.8799	15257.3477	0.0000	0.0000
sp|Q9UK17|KCND3_HUMAN	Q9UK17	KCND3_HUMAN	KCND3	655	false	false	Homo sapiens	Potassium voltage-gated channel subfamily D member 3	1:Experimental evidence at protein level	16.03	1.0000	0.9990	0.00000000000000	9	8	8	10	9	9	7438810	2197843	7438810	10K(304.2072), 11K(304.2072), 1C(57.0215), 2M(15.9949), 9C(57.0215), N-term(304.2072)			245121.1846	212861.6499	274963.4399	216787.8488	234332.0293	217249.6060	565821.3125	713578.6719	696575.6836	375013.9404	355729.1973	355723.7627	10076.1831	3202.0018	0.0000	0.0000
sp|Q9UK22|FBX2_HUMAN	Q9UK22	FBX2_HUMAN	FBXO2	296	false	false	Homo sapiens	F-box only protein 2	1:Experimental evidence at protein level	15.88	1.0000	0.9990	0.00000000000000	3	3	3	5	5	5	2356920	2356920	2356920	12K(304.2072), 14C(57.0215), 19K(304.2072), 20K(304.2072), 5C(57.0215), N-term(304.2072)			196275.5430	128386.7007	300056.2402	346322.3730	347365.1934	311622.4023	144860.5645	119686.8545	127649.9150	197549.7061	184786.1348	175915.3262	2797.3777	2548.9683	0.0000	0.0000
sp|Q9UK28|TM59L_HUMAN	Q9UK28	TM59L_HUMAN	TMEM59L	342	false	false	Homo sapiens	Transmembrane protein 59-like	2:Experimental evidence at transcript level	10.23	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1087355	1087355	1087355	10K(304.2072), 13C(57.0215), 7C(57.0215), N-term(304.2072)			35270.0713	27307.1719	45254.1807	48066.0869	42635.3257	49195.9983	113867.2441	119415.9414	132384.9492	120407.7676	119632.2461	114102.6602	6179.1687	0.0000	0.0000	0.0000
sp|Q9UK59|DBR1_HUMAN	Q9UK59	DBR1_HUMAN	DBR1	544	false	false	Homo sapiens	Lariat debranching enzyme	1:Experimental evidence at protein level	9.01	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	4075565	4075565	4075565	10K(304.2072), 2K(304.2072), 2M(15.9949), 5C(57.0215), 5M(15.9949), N-term(304.2072)			148203.5293	110587.0322	192207.4268	283504.7217	342817.6836	309587.1426	113592.3672	121449.4941	121975.3154	220696.1436	189125.4326	233014.8711	4543.4873	1172.1267	0.0000	0.0000
sp|Q9UK99|FBX3_HUMAN	Q9UK99	FBX3_HUMAN	FBXO3	471	false	false	Homo sapiens	F-box only protein 3	1:Experimental evidence at protein level	9.13	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	990704	990704	990704	17C(57.0215), 18K(304.2072), 2C(57.0215), 5C(57.0215), 6C(57.0215), N-term(304.2072)			59703.7051	45245.6240	76445.4629	109782.6016	145147.9258	105990.3262	41964.0117	46081.3994	50402.1631	66872.0049	62414.8174	71077.8398	0.0000	1437.2609	0.0000	0.0000
sp|Q9UKA9|PTBP2_HUMAN	Q9UKA9	PTBP2_HUMAN	PTBP2	531	false	false	Homo sapiens	Polypyrimidine tract-binding protein 2	1:Experimental evidence at protein level	31.45	1.0000	0.9990	0.00000000000000	13	11	11	15	12	12	14418919	14418919	14418919	10K(304.2072), 11K(304.2072), 16M(15.9949), 17M(15.9949), 24K(304.2072), 3K(304.2072), 7K(304.2072), 7M(15.9949), N-term(304.2072)			752919.9111	598306.9219	944542.1172	451506.6826	465376.3730	497347.3359	1127348.5400	1249097.2002	1200501.8779	846289.7236	783450.2461	769111.1787	15584.8502	6203.3218	0.0000	0.0000
sp|Q9UKB1|FBW1B_HUMAN	Q9UKB1	FBW1B_HUMAN	FBXW11	542	false	false	Homo sapiens	F-box/WD repeat-containing protein 11	1:Experimental evidence at protein level	16.24	1.0000	0.9990	0.00000000000000	9	4	9	9	4	9	9150760	922812	9150760	10K(304.2072), 11K(304.2072), 1K(304.2072), 3C(57.0215), 4C(57.0215), 5C(57.0215), 7K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			283868.8213	225248.9385	371308.8926	318446.5156	348229.0312	336509.4160	298029.5996	347751.4873	362415.2715	361650.6338	368311.1797	392098.4297	7975.8795	4175.6074	0.0000	0.0000
sp|Q9UKC9|FBXL2_HUMAN	Q9UKC9	FBXL2_HUMAN	FBXL2	423	false	false	Homo sapiens	F-box/LRR-repeat protein 2	1:Experimental evidence at protein level	19.15	1.0000	0.9990	0.00000000000000	10	6	6	11	6	6	10878320	1907979	10878320	11K(304.2072), 2C(57.0215), 6C(57.0215), 7K(304.2072), N-term(304.2072)			59203.3252	50671.7822	83593.7178	64781.5034	65837.0205	65894.6699	246479.7246	274394.3711	321564.3965	282971.0605	281132.7012	262453.1504	9901.0239	1762.1462	0.0000	0.0000
sp|Q9UKE5|TNIK_HUMAN	Q9UKE5	TNIK_HUMAN	TNIK	1360	false	false	Homo sapiens	TRAF2 and NCK-interacting protein kinase	1:Experimental evidence at protein level	24.26	1.0000	0.9990	0.00000000000000	34	25	34	40	30	40	16366261	14742918	16366261	10K(304.2072), 11K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16M(15.9949), 18K(304.2072), 21K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5M(15.9949), 6K(304.2072), 6M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			1424241.3965	1102067.2817	1695058.9775	1087830.0615	1284633.2764	1123533.2925	1248045.3457	1471172.8467	1511809.0791	1631471.2471	1551970.2256	1617465.5254	48202.5196	16940.2303	0.0000	0.0000
sp|Q9UKF6|CPSF3_HUMAN	Q9UKF6	CPSF3_HUMAN	CPSF3	684	false	false	Homo sapiens	Cleavage and polyadenylation specificity factor subunit 3	1:Experimental evidence at protein level	8.77	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	3488908	3488908	3488908	16K(304.2072), 3M(15.9949), 8K(304.2072), N-term(304.2072)			89644.6709	66867.4863	111280.8701	116932.7842	120494.2148	131793.9053	107953.3447	115159.0225	130322.4570	143885.1660	112507.7617	127124.2871	6395.0544	0.0000	0.0000	0.0000
sp|Q9UKF7|PITC1_HUMAN	Q9UKF7	PITC1_HUMAN	PITPNC1	332	false	false	Homo sapiens	Cytoplasmic phosphatidylinositol transfer protein 1	1:Experimental evidence at protein level	14.46	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	5010663	5010663	5010663	3C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			260747.4844	214737.6582	348499.5039	198876.2090	187141.3096	216033.7754	196191.5186	221501.0430	220457.7266	126120.4160	100955.4980	129133.7930	2114.5435	1438.2670	0.0000	0.0000
sp|Q9UKG1|DP13A_HUMAN	Q9UKG1	DP13A_HUMAN	APPL1	709	false	false	Homo sapiens	DCC-interacting protein 13-alpha	1:Experimental evidence at protein level	33.71	1.0000	0.9990	0.00000000000000	24	23	24	26	25	26	14565112	14565112	14565112	10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 13K(304.2072), 14C(57.0215), 17M(15.9949), 1K(304.2072), 21C(57.0215), 2C(57.0215), 2K(304.2072), 3K(304.2072), 5K(304.2072), 5M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)			1187842.4961	994123.3555	1661460.9961	1692278.0830	1761809.4434	1742403.9570	952185.7900	1074181.1982	1116725.7158	1264905.5820	1069432.5615	1243885.9785	36365.0280	21567.1891	0.0000	0.0000
sp|Q9UKG9|OCTC_HUMAN	Q9UKG9	OCTC_HUMAN	CROT	612	false	false	Homo sapiens	Peroxisomal carnitine O-octanoyltransferase	1:Experimental evidence at protein level	21.57	1.0000	0.9990	0.00000000000000	13	13	13	15	15	15	6673758	6673758	6673758	15K(304.2072), 16K(304.2072), 17K(304.2072), 1C(57.0215), 1K(304.2072), 21K(304.2072), 22K(304.2072), 2C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			388226.8125	317229.2681	503693.7988	444741.2832	436699.4561	389974.1533	967143.8691	870885.4922	1045833.6934	1189388.1797	1087966.5859	1102082.9258	35336.5509	19938.5640	0.0000	0.0000
sp|Q9UKJ3|GPTC8_HUMAN	Q9UKJ3	GPTC8_HUMAN	GPATCH8	1502	false	false	Homo sapiens	G patch domain-containing protein 8	1:Experimental evidence at protein level	4.26	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	1754170	1754170	1754170	10K(304.2072), 14K(304.2072), 17K(304.2072), 1K(304.2072), 8K(304.2072), N-term(304.2072)			107725.1094	81724.0996	139466.6367	198495.9355	216771.2090	224504.2617	97135.5498	96329.1543	114924.0938	191855.6250	153342.4746	170567.6367	2836.8987	0.0000	0.0000	0.0000
sp|Q9UKK9|NUDT5_HUMAN	Q9UKK9	NUDT5_HUMAN	NUDT5	219	false	false	Homo sapiens	ADP-sugar pyrophosphatase	1:Experimental evidence at protein level	41.55	1.0000	0.9990	0.00000000000000	9	9	9	16	16	16	14500898	14500898	14500898	13K(304.2072), 1K(304.2072), 4M(15.9949), 5K(304.2072), 6K(304.2072), 9K(304.2072), N-term(304.2072)			1080132.4160	716385.8145	1466065.4590	952254.5059	980958.4102	896302.3262	557422.4062	458644.8018	488618.7285	550733.0957	459452.1191	531169.4111	10756.1588	4333.4517	0.0000	0.0000
sp|Q9UKM7|MA1B1_HUMAN	Q9UKM7	MA1B1_HUMAN	MAN1B1	699	false	false	Homo sapiens	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1:Experimental evidence at protein level	7.30	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	3130465	3130465	3130465	10K(304.2072), 17K(304.2072), 1K(304.2072), N-term(304.2072)			45071.4629	38195.7495	54234.0781	60907.4385	51631.2573	54586.0918	253657.0234	273110.7188	334966.5352	449647.1602	417671.2422	461136.0117	18310.8013	6861.7798	0.0000	0.0000
sp|Q9UKM9|RALY_HUMAN	Q9UKM9	RALY_HUMAN	RALY	306	false	false	Homo sapiens	RNA-binding protein Raly	1:Experimental evidence at protein level	51.31	1.0000	0.9990	0.00000000000000	18	17	18	30	28	30	37707321	37707321	37707321	10K(304.2072), 11M(15.9949), 12K(304.2072), 13K(304.2072), 16K(304.2072), 1K(304.2072), 21K(304.2072), 2K(304.2072), 4C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			2607663.7031	2155296.2168	3057918.0859	1510635.7051	1615828.5527	1585532.1631	3494380.0293	3855815.0801	3773279.7422	2029124.7539	1895351.0176	1695909.5625	45494.7640	17937.9705	0.0000	0.0000
sp|Q9UKN8|TF3C4_HUMAN	Q9UKN8	TF3C4_HUMAN	GTF3C4	822	false	false	Homo sapiens	General transcription factor 3C polypeptide 4	1:Experimental evidence at protein level	7.66	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1404840	1404840	1404840	13K(304.2072), 6M(15.9949), 8C(57.0215), N-term(304.2072)			93121.4502	74631.7051	118948.4219	165111.3164	186983.7363	197884.9941	91724.7510	95844.9355	105871.5830	147412.6768	132526.3711	149035.0068	0.0000	1739.1400	0.0000	0.0000
sp|Q9UKR5|ERG28_HUMAN	Q9UKR5	ERG28_HUMAN	ERG28	140	false	false	Homo sapiens	Ergosterol biosynthetic protein 28 homolog	1:Experimental evidence at protein level	22.86	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	6383392	6383392	6383392	5K(304.2072), 8K(304.2072), N-term(304.2072)			65899.4150	56377.2441	101608.4092	54457.9922	65282.3550	61741.3164	244986.7168	234189.1289	272489.7070	227287.6816	178723.4375	182552.9160	6353.8352	2922.5823	1074.4309	0.0000
sp|Q9UKU0|ACSL6_HUMAN	Q9UKU0	ACSL6_HUMAN	ACSL6	697	false	false	Homo sapiens	Long-chain-fatty-acid--CoA ligase 6	1:Experimental evidence at protein level	14.92	1.0000	0.9990	0.00000000000000	11	9	10	13	9	10	3331347	2624115	3331347	10C(57.0215), 11K(304.2072), 13K(304.2072), 1K(304.2072), 3C(57.0215), 4K(304.2072), 6C(57.0215), 7K(304.2072), N-term(304.2072)			201439.0410	165066.8789	247725.4229	130026.8550	152611.9922	148997.1074	604702.6953	670377.2305	736902.9492	591677.0664	540599.3047	555688.5254	13344.0326	3032.1631	0.0000	0.0000
sp|Q9UKU7|ACAD8_HUMAN	Q9UKU7	ACAD8_HUMAN	ACAD8	415	false	false	Homo sapiens	Isobutyryl-CoA dehydrogenase, mitochondrial	1:Experimental evidence at protein level	32.29	1.0000	0.9990	0.00000000000000	15	15	15	22	22	22	26378056	26378056	26378056	10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 1K(304.2072), 2C(57.0215), 4C(57.0215), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)			649880.9102	535031.5605	837184.7305	389253.5728	401180.1123	402907.9028	1106478.5811	1278990.2061	1470487.1348	1325667.9766	1260001.8564	1306454.4844	24802.5756	7320.5482	0.0000	0.0000
sp|Q9UKV3|ACINU_HUMAN	Q9UKV3	ACINU_HUMAN	ACIN1	1341	false	false	Homo sapiens	Apoptotic chromatin condensation inducer in the nucleus	1:Experimental evidence at protein level	23.71	1.0000	0.9990	0.00000000000000	33	33	33	40	40	40	11532021	11532021	11532021	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 16K(304.2072), 17K(304.2072), 1K(304.2072), 2C(57.0215), 2K(304.2072), 3C(57.0215), 3K(304.2072), 4M(15.9949), 6C(57.0215), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1392481.3799	1183614.1494	1814590.1572	1368621.4800	1298314.9844	1577871.0195	1732192.7822	2224502.9219	2405426.7930	2246635.8369	2086875.1387	2133275.1621	51728.9729	32909.9148	0.0000	0.0000
sp|Q9UKV5|AMFR_HUMAN	Q9UKV5	AMFR_HUMAN	AMFR	643	false	false	Homo sapiens	E3 ubiquitin-protein ligase AMFR	1:Experimental evidence at protein level	10.73	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	1979961	1979961	1979961	1K(304.2072), N-term(304.2072)			56506.9131	43637.1445	66566.9082	37539.6729	41595.4990	40047.3115	195830.3750	222012.7422	248944.6953	221477.6094	200197.0000	210318.5859	2679.1830	2470.5527	0.0000	0.0000
sp|Q9UKV8|AGO2_HUMAN	Q9UKV8	AGO2_HUMAN	AGO2	859	false	false	Homo sapiens	Protein argonaute-2	1:Experimental evidence at protein level	20.61	1.0000	0.9990	0.00000000000000	16	13	16	21	16	21	7519807	7519807	7519807	10C(57.0215), 11C(57.0215), 11K(304.2072), 11M(15.9949), 12K(304.2072), 13C(57.0215), 13K(304.2072), 14K(304.2072), 2C(57.0215), 4M(15.9949), 5M(15.9949), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9M(15.9949), N-term(304.2072)			637464.0938	511684.3301	819028.5938	823186.7559	954992.0596	904432.4258	615628.0068	635644.2705	709264.1299	1216386.0273	1110969.1855	1216543.2734	40164.8679	17233.8191	0.0000	0.0000
sp|Q9UKX7|NUP50_HUMAN	Q9UKX7	NUP50_HUMAN	NUP50	468	false	false	Homo sapiens	Nuclear pore complex protein Nup50	1:Experimental evidence at protein level	21.37	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	2291865	2291865	2291865	12K(304.2072), 14K(304.2072), 15K(304.2072), 17K(304.2072), 2K(304.2072), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), N-term(304.2072)			197724.7500	190868.5107	350705.6953	199649.1514	213915.7246	216300.9697	200827.0811	283421.8027	295625.7168	304752.1484	276866.0098	221019.9697	7120.4572	1624.0509	0.0000	0.0000
sp|Q9UKY4|POMT2_HUMAN	Q9UKY4	POMT2_HUMAN	POMT2	750	false	false	Homo sapiens	Protein O-mannosyl-transferase 2	1:Experimental evidence at protein level	4.27	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1388647	1388647	1388647	10K(304.2072), 11M(15.9949), N-term(304.2072)			37357.4648	30777.0884	48516.4365	40392.6104	47437.4824	43620.8926	104876.6094	119924.1895	149982.8867	100098.9336	98603.1426	90495.3262	1294.4880	0.0000	0.0000	0.0000
sp|Q9UL12|SARDH_HUMAN	Q9UL12	SARDH_HUMAN	SARDH	918	false	false	Homo sapiens	Sarcosine dehydrogenase, mitochondrial	1:Experimental evidence at protein level	7.63	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	2346078	2346078	2346078	15K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072)			142578.1270	126341.0801	180715.0820	116253.1953	100667.9961	118540.4414	209348.9688	231559.3945	273536.0273	266485.8086	255438.9961	278734.4023	8244.6743	0.0000	0.0000	0.0000
sp|Q9UL15|BAG5_HUMAN	Q9UL15	BAG5_HUMAN	BAG5	447	false	false	Homo sapiens	BAG family molecular chaperone regulator 5	1:Experimental evidence at protein level	27.74	1.0000	0.9990	0.00000000000000	12	11	12	15	13	15	9470434	9470434	9470434	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 3K(304.2072), 4C(57.0215), 5M(15.9949), 6C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			505429.7754	411782.4922	654854.6172	646163.2715	667692.4492	679937.8398	470081.8203	530776.9023	556858.6387	605662.3652	509251.8828	613306.7930	13055.4567	11006.6719	0.0000	0.0000
sp|Q9UL18|AGO1_HUMAN	Q9UL18	AGO1_HUMAN	AGO1	857	false	false	Homo sapiens	Protein argonaute-1	1:Experimental evidence at protein level	20.77	1.0000	0.9990	0.00000000000000	16	6	13	20	8	15	7772367	7024630	7772367	10C(57.0215), 10K(304.2072), 11K(304.2072), 12K(304.2072), 1K(304.2072), 2K(304.2072), 5M(15.9949), 6C(57.0215), 7K(304.2072), 9M(15.9949), N-term(304.2072)			716122.9004	562238.8486	895095.1035	547798.8320	591837.1182	581169.1084	727174.1514	773447.2090	815114.0391	885042.2520	828169.4863	842668.1367	25294.8850	13779.5146	0.0000	0.0000
sp|Q9UL25|RAB21_HUMAN	Q9UL25	RAB21_HUMAN	RAB21	225	false	false	Homo sapiens	Ras-related protein Rab-21	1:Experimental evidence at protein level	50.22	1.0000	0.9990	0.00000000000000	12	11	12	16	15	16	53495793	53495793	53495793	10C(57.0215), 11K(304.2072), 12K(304.2072), 17K(304.2072), 1K(304.2072), 2C(57.0215), 5K(304.2072), 7K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072)			1152700.1504	826750.0508	1548087.2559	870479.4829	877891.9272	885470.1841	3048250.2363	3020525.4258	3450530.2461	3009010.3672	2719769.4688	2883034.5293	74531.0137	54046.6437	0.0000	0.0000
sp|Q9UL26|RB22A_HUMAN	Q9UL26	RB22A_HUMAN	RAB22A	194	false	false	Homo sapiens	Ras-related protein Rab-22A	1:Experimental evidence at protein level	38.14	1.0000	0.9990	0.00000000000000	7	6	6	9	8	8	11148676	8681029	11148676	10K(304.2072), 14K(304.2072), 16K(304.2072), 1C(57.0215), 5M(15.9949), 8K(304.2072), N-term(304.2072)			308502.6895	237457.6553	411941.4355	286552.6318	276735.7598	261478.9043	541946.0156	436651.7734	503628.9375	400869.3145	378893.1660	401582.1230	5446.9746	4585.4659	0.0000	0.0000
sp|Q9UL40|ZN346_HUMAN	Q9UL40	ZN346_HUMAN	ZNF346	294	false	false	Homo sapiens	Zinc finger protein 346	1:Experimental evidence at protein level	15.65	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	4726219	4726219	4726219	10C(57.0215), 11K(304.2072), 12K(304.2072), 1K(304.2072), 2C(57.0215), 2K(304.2072), 3C(57.0215), 6M(15.9949), 7K(304.2072), 9K(304.2072), N-term(304.2072)			219560.5576	205747.4971	317778.5762	161398.3232	188076.9404	159889.7305	317380.5488	354505.8301	369670.2793	294219.2070	272645.3711	247761.1855	4329.1512	1340.2666	0.0000	0.0000
sp|Q9UL42|PNMA2_HUMAN	Q9UL42	PNMA2_HUMAN	PNMA2	364	false	false	Homo sapiens	Paraneoplastic antigen Ma2	1:Experimental evidence at protein level	12.09	1.0000	0.9990	0.00000000000000	5	4	4	5	4	4	1486544	1486544	1486544	7K(304.2072), 8M(15.9949), N-term(304.2072)			112537.4688	100070.5029	170276.3867	138284.1914	150451.4961	152570.1836	86584.0469	99601.8945	111562.0977	136676.9551	118757.2383	108440.8398	0.0000	0.0000	0.0000	0.0000
